Age Group,Number of Records,InfluenzaDisease,InfluenzaDiseaseCount,Week,Year
0-4 yr,1,B (Yamagata Lineage),3,44,2017
0-4 yr,1,B (Yamagata Lineage),1,45,2017
0-4 yr,1,B (Yamagata Lineage),2,46,2017
0-4 yr,1,B (Yamagata Lineage),4,47,2017
0-4 yr,1,B (Yamagata Lineage),4,48,2017
0-4 yr,1,B (Yamagata Lineage),3,49,2017
0-4 yr,1,B (Yamagata Lineage),9,50,2017
0-4 yr,1,B (Yamagata Lineage),16,51,2017
0-4 yr,1,B (Yamagata Lineage),18,52,2017
0-4 yr,1,B (Yamagata Lineage),26,1,2018
0-4 yr,1,B (Yamagata Lineage),12,2,2018
0-4 yr,1,B (Yamagata Lineage),30,3,2018
0-4 yr,1,B (Yamagata Lineage),35,4,2018
0-4 yr,1,B (Yamagata Lineage),39,5,2018
0-4 yr,1,B (Yamagata Lineage),28,6,2018
0-4 yr,1,B (Yamagata Lineage),26,7,2018
0-4 yr,1,B (Yamagata Lineage),16,8,2018
5-24 yr,1,B (Yamagata Lineage),3,40,2017
5-24 yr,1,B (Yamagata Lineage),0,41,2017
5-24 yr,1,B (Yamagata Lineage),2,42,2017
5-24 yr,1,B (Yamagata Lineage),5,43,2017
5-24 yr,1,B (Yamagata Lineage),9,44,2017
5-24 yr,1,B (Yamagata Lineage),8,45,2017
5-24 yr,1,B (Yamagata Lineage),25,46,2017
5-24 yr,1,B (Yamagata Lineage),18,47,2017
5-24 yr,1,B (Yamagata Lineage),22,48,2017
5-24 yr,1,B (Yamagata Lineage),32,49,2017
5-24 yr,1,B (Yamagata Lineage),62,50,2017
5-24 yr,1,B (Yamagata Lineage),61,51,2017
5-24 yr,1,B (Yamagata Lineage),61,52,2017
5-24 yr,1,B (Yamagata Lineage),49,1,2018
5-24 yr,1,B (Yamagata Lineage),99,2,2018
5-24 yr,1,B (Yamagata Lineage),98,3,2018
5-24 yr,1,B (Yamagata Lineage),184,4,2018
5-24 yr,1,B (Yamagata Lineage),238,5,2018
5-24 yr,1,B (Yamagata Lineage),246,6,2018
5-24 yr,1,B (Yamagata Lineage),173,7,2018
5-24 yr,1,B (Yamagata Lineage),109,8,2018
25-64 yr,1,B (Yamagata Lineage),7,40,2017
25-64 yr,1,B (Yamagata Lineage),8,41,2017
25-64 yr,1,B (Yamagata Lineage),3,42,2017
25-64 yr,1,B (Yamagata Lineage),7,43,2017
25-64 yr,1,B (Yamagata Lineage),8,44,2017
25-64 yr,1,B (Yamagata Lineage),14,45,2017
25-64 yr,1,B (Yamagata Lineage),17,46,2017
25-64 yr,1,B (Yamagata Lineage),15,47,2017
25-64 yr,1,B (Yamagata Lineage),27,48,2017
25-64 yr,1,B (Yamagata Lineage),32,49,2017
25-64 yr,1,B (Yamagata Lineage),56,50,2017
25-64 yr,1,B (Yamagata Lineage),73,51,2017
25-64 yr,1,B (Yamagata Lineage),113,52,2017
25-64 yr,1,B (Yamagata Lineage),151,1,2018
25-64 yr,1,B (Yamagata Lineage),149,2,2018
25-64 yr,1,B (Yamagata Lineage),166,3,2018
25-64 yr,1,B (Yamagata Lineage),173,4,2018
25-64 yr,1,B (Yamagata Lineage),187,5,2018
25-64 yr,1,B (Yamagata Lineage),202,6,2018
25-64 yr,1,B (Yamagata Lineage),162,7,2018
25-64 yr,1,B (Yamagata Lineage),95,8,2018
65+ yr,1,B (Yamagata Lineage),6,40,2017
65+ yr,1,B (Yamagata Lineage),2,41,2017
65+ yr,1,B (Yamagata Lineage),4,42,2017
65+ yr,1,B (Yamagata Lineage),6,43,2017
65+ yr,1,B (Yamagata Lineage),11,44,2017
65+ yr,1,B (Yamagata Lineage),6,45,2017
65+ yr,1,B (Yamagata Lineage),15,46,2017
65+ yr,1,B (Yamagata Lineage),23,47,2017
65+ yr,1,B (Yamagata Lineage),37,48,2017
65+ yr,1,B (Yamagata Lineage),25,49,2017
65+ yr,1,B (Yamagata Lineage),27,50,2017
65+ yr,1,B (Yamagata Lineage),55,51,2017
65+ yr,1,B (Yamagata Lineage),108,52,2017
65+ yr,1,B (Yamagata Lineage),150,1,2018
65+ yr,1,B (Yamagata Lineage),136,2,2018
65+ yr,1,B (Yamagata Lineage),138,3,2018
65+ yr,1,B (Yamagata Lineage),180,4,2018
65+ yr,1,B (Yamagata Lineage),147,5,2018
65+ yr,1,B (Yamagata Lineage),163,6,2018
65+ yr,1,B (Yamagata Lineage),141,7,2018
65+ yr,1,B (Yamagata Lineage),96,8,2018
0-4 yr,1,A (Subtyping not Performed),0,40,2017
0-4 yr,1,A (Subtyping not Performed),0,41,2017
0-4 yr,1,A (Subtyping not Performed),0,42,2017
0-4 yr,1,A (Subtyping not Performed),0,43,2017
0-4 yr,1,A (Subtyping not Performed),0,44,2017
0-4 yr,1,A (Subtyping not Performed),0,45,2017
0-4 yr,1,A (Subtyping not Performed),0,46,2017
0-4 yr,1,A (Subtyping not Performed),0,47,2017
0-4 yr,1,A (Subtyping not Performed),1,48,2017
0-4 yr,1,A (Subtyping not Performed),0,49,2017
0-4 yr,1,A (Subtyping not Performed),0,50,2017
0-4 yr,1,A (Subtyping not Performed),1,51,2017
0-4 yr,1,A (Subtyping not Performed),1,52,2017
0-4 yr,1,A (Subtyping not Performed),0,1,2018
0-4 yr,1,A (Subtyping not Performed),1,2,2018
0-4 yr,1,A (Subtyping not Performed),0,3,2018
0-4 yr,1,A (Subtyping not Performed),0,4,2018
0-4 yr,1,A (Subtyping not Performed),1,5,2018
0-4 yr,1,A (Subtyping not Performed),1,6,2018
0-4 yr,1,A (Subtyping not Performed),0,7,2018
0-4 yr,1,A (Subtyping not Performed),0,8,2018
5-24 yr,1,A (Subtyping not Performed),1,40,2017
5-24 yr,1,A (Subtyping not Performed),0,41,2017
5-24 yr,1,A (Subtyping not Performed),0,42,2017
5-24 yr,1,A (Subtyping not Performed),1,43,2017
5-24 yr,1,A (Subtyping not Performed),0,44,2017
5-24 yr,1,A (Subtyping not Performed),0,45,2017
5-24 yr,1,A (Subtyping not Performed),1,46,2017
5-24 yr,1,A (Subtyping not Performed),0,47,2017
5-24 yr,1,A (Subtyping not Performed),0,48,2017
5-24 yr,1,A (Subtyping not Performed),0,49,2017
5-24 yr,1,A (Subtyping not Performed),2,50,2017
5-24 yr,1,A (Subtyping not Performed),2,51,2017
5-24 yr,1,A (Subtyping not Performed),3,52,2017
5-24 yr,1,A (Subtyping not Performed),0,1,2018
5-24 yr,1,A (Subtyping not Performed),4,2,2018
5-24 yr,1,A (Subtyping not Performed),2,3,2018
5-24 yr,1,A (Subtyping not Performed),4,4,2018
5-24 yr,1,A (Subtyping not Performed),11,5,2018
5-24 yr,1,A (Subtyping not Performed),4,6,2018
5-24 yr,1,A (Subtyping not Performed),2,7,2018
5-24 yr,1,A (Subtyping not Performed),5,8,2018
25-64 yr,1,A (Subtyping not Performed),1,40,2017
25-64 yr,1,A (Subtyping not Performed),1,41,2017
25-64 yr,1,A (Subtyping not Performed),0,42,2017
25-64 yr,1,A (Subtyping not Performed),2,43,2017
25-64 yr,1,A (Subtyping not Performed),2,44,2017
25-64 yr,1,A (Subtyping not Performed),1,45,2017
25-64 yr,1,A (Subtyping not Performed),1,46,2017
25-64 yr,1,A (Subtyping not Performed),0,47,2017
